station_id,name,short_name,lon,lat,region_id,capacity,rental_uris,rental_methods,has_kiosk,station_type,external_id,electric_bike_surcharge_waiver,eightd_station_services,eightd_has_key_dispenser
eb07bdfc-3a6f-40eb-96d2-0b92ac371619,Eastern Pkwy & Brooklyn Ave,3871.02,-73.94514,40.66939,71.0,21,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,eb07bdfc-3a6f-40eb-96d2-0b92ac371619,False,[],False
2235288981858690806,Lenox Rd & Remsen Ave,3478.04,-73.92342,40.65611,71.0,18,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",False,classic,2235288981858690806,False,[],False
bc5235a5-7f10-4a27-806e-9c25fa700959,Broadway & Moylan Pl,7823.03,-73.9590255,40.8143256,71.0,41,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,bc5235a5-7f10-4a27-806e-9c25fa700959,False,[],False
b35ba3c0-d3e8-4b1a-b63b-73a7bb518c9e,Irving Ave & Palmetto St,4775.01,-73.9127,40.698,71.0,20,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,b35ba3c0-d3e8-4b1a-b63b-73a7bb518c9e,False,[],False
cb9840a3-4ae2-420d-865c-9ac45e2f5485,St Ann's Ave & Bruckner Blvd,7657.03,-73.919763,40.803399,71.0,17,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,cb9840a3-4ae2-420d-865c-9ac45e2f5485,False,[],False
66dc3e89-0aca-11e7-82f6-3863bb44ef7c,E 31 St & 3 Ave,6239.08,-73.97966069,40.74394314,71.0,65,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,66dc3e89-0aca-11e7-82f6-3863bb44ef7c,False,[],False
1799624430022654108,Dwight St & Dikeman St,4054.06,-74.01048018571481,40.67487503856169,71.0,21,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,1799624430022654108,False,[],False
2138075988152462096,Ditmas Ave & McDonald Ave,2818.01,-73.97825,40.63548,71.0,23,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",False,classic,2138075988152462096,False,[],False
66dc8db1-0aca-11e7-82f6-3863bb44ef7c,Front St & Washington St,4936.01,-73.98940236,40.70255088,71.0,57,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,66dc8db1-0aca-11e7-82f6-3863bb44ef7c,False,[],False
1862008939006380034,E 189 St & Bathgate Ave,8505.08,-73.88821,40.85859,71.0,21,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,1862008939006380034,False,[],False
2124381939991318658,73 St & Ridge Blvd,2708.07,-74.02976,40.63349,71.0,16,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",False,classic,2124381939991318658,False,[],False
66dde630-0aca-11e7-82f6-3863bb44ef7c,E 93 St & 2 Ave,7286.02,-73.9489196240902,40.782454175279874,71.0,73,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,66dde630-0aca-11e7-82f6-3863bb44ef7c,False,[],False
1815967442754883940,Church Ave & Nostrand Ave,3359.01,-73.94986,40.65074,71.0,30,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,1815967442754883940,False,[],False
90b141b9-c39f-4a26-a32d-08c7d1474d52,Lafayette Ave & Hunts Point Ave,7883.06,-73.888161,40.816567,71.0,22,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,90b141b9-c39f-4a26-a32d-08c7d1474d52,False,[],False
2124425439157234232,68 St & 5 Ave,2698.07,-74.02058,40.63416,71.0,14,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",False,classic,2124425439157234232,False,[],False
59df3823-0369-4a10-8132-05df34a170af,Myrtle Ave & Fleet Pl,4628.07,-73.981909,40.693534,71.0,47,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,59df3823-0369-4a10-8132-05df34a170af,False,[],False
3eb10c63-ea4c-4161-b07d-a29034f7367a,Brook Ave & E 141 St,7740.08,-73.917875,40.809619,71.0,19,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,3eb10c63-ea4c-4161-b07d-a29034f7367a,False,[],False
66de85d2-0aca-11e7-82f6-3863bb44ef7c,Grand St & Elizabeth St,5382.06,-73.99596,40.718822,71.0,45,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,66de85d2-0aca-11e7-82f6-3863bb44ef7c,False,[],False
66de2707-0aca-11e7-82f6-3863bb44ef7c,E 65 St & 2 Ave,6860.12,-73.96222069859505,40.76471851944339,71.0,48,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,66de2707-0aca-11e7-82f6-3863bb44ef7c,False,[],False
0138452a-b9f4-4aee-80b0-7fae9a122ffe,E 54 St & 1 Ave,6608.09,-73.964179,40.756265,71.0,41,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,0138452a-b9f4-4aee-80b0-7fae9a122ffe,False,[],False
1828968883163894358,24 Ave & 87 St,6885.01,-73.88256,40.7654,71.0,20,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,1828968883163894358,False,[],False
e9575102-1081-4c30-8d15-ea95913579e2,Bergen St & Buffalo Ave,4072.02,-73.92512,40.6747,71.0,21,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,e9575102-1081-4c30-8d15-ea95913579e2,False,[],False
1937777808143497236,Columbus Ave & W 59 St,6986.07,-73.98464,40.76931,71.0,44,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,1937777808143497236,False,[],False
640a9a95-194f-42f5-8d88-1df67129f388,E 171 St & 3 Ave,8171.06,-73.902185,40.837119,71.0,24,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,640a9a95-194f-42f5-8d88-1df67129f388,False,[],False
66880044-5411-4143-af39-eaa0a0fd0528,Park Ave & E 124 St,7682.01,-73.9396861,40.8045555,71.0,36,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,66880044-5411-4143-af39-eaa0a0fd0528,False,[],False
4efda436-cd19-4ec3-acc7-1a622f723264,Fulton St & Saratoga Ave,4179.03,-73.91642,40.67853,71.0,19,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,4efda436-cd19-4ec3-acc7-1a622f723264,False,[],False
1826348248869574940,E 18 St & Church Ave,3263.01,-73.96316,40.64958,71.0,31,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,1826348248869574940,False,[],False
1929504694747056164,Pier 61 at Chelsea Piers,6233.04,-74.00821,40.746872,71.0,43,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,1929504694747056164,False,[],False
66dd4ec7-0aca-11e7-82f6-3863bb44ef7c,Riverside Dr & W 82 St,7388.10,-73.98128127,40.78720869,71.0,75,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,66dd4ec7-0aca-11e7-82f6-3863bb44ef7c,False,[],False
69717638-5c4a-47a7-bccb-3b42c81eb09f,56 Dr & 61 St,5540.06,-73.90458,40.72368,71.0,19,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}","['KEY', 'CREDITCARD']",True,classic,69717638-5c4a-47a7-bccb-3b42c81eb09f,False,[],False
